epoch,train_loss,train_anchor_exact,train_anchor_within_1,train_local_capture,train_full_raw_mse,val_loss,val_anchor_exact,val_anchor_within_1,val_local_capture,val_full_raw_mse,replay_ai_vs_zero_db,replay_ai_to_h5_gap_db,lr,seconds
1,1.8381221532821654,1.0,1.0,0.7564175128936768,8.915723810787313e-06,1.292554259300232,1.0,1.0,0.7754288911819458,6.867416541354032e-06,,,0.0008,3.3660545349121094
2,1.477080111503601,1.0,1.0,0.7564175724983215,7.71148279454792e-06,1.2226203203201294,1.0,1.0,0.7754288911819458,6.65779833070701e-06,,,0.0008,1.0546870231628418
3,1.3843375492095946,1.0,1.0,0.7564175128936768,7.401881703117397e-06,1.204730043411255,1.0,1.0,0.7754288911819458,6.586280396732036e-06,,,0.0008,0.997230052947998
4,1.3407787656784058,1.0,1.0,0.7564175128936768,7.278323209902737e-06,1.1971972274780274,1.0,1.0,0.7754288911819458,6.559960766026051e-06,,,0.0008,1.0698342323303223
5,1.3122560930252076,1.0,1.0,0.7564175724983215,7.181422915891744e-06,1.1933598661422729,1.0,1.0,0.7754288911819458,6.548186684085522e-06,5.307795342302675,21.10872204837927,0.0008,8.619206190109253
6,1.2903156471252442,1.0,1.0,0.7564175128936768,7.125314368749969e-06,1.1861380290985108,1.0,1.0,0.7754288911819458,6.5201420693483665e-06,,,0.0008,1.6090443134307861
7,1.2748494625091553,1.0,1.0,0.7564175128936768,7.064256351441145e-06,1.1801737880706786,1.0,1.0,0.7754288911819458,6.497383892565267e-06,,,0.0008,1.1910476684570312
8,1.2613095808029176,1.0,1.0,0.7564175128936768,7.017475581960753e-06,1.179313335418701,1.0,1.0,0.7754288911819458,6.500890413008164e-06,,,0.0008,1.219926118850708
9,1.249413332939148,1.0,1.0,0.7564175724983215,7.002679012657609e-06,1.1736423873901367,1.0,1.0,0.7754288911819458,6.484076966444263e-06,,,0.0008,1.3321952819824219
10,1.2451001930236816,1.0,1.0,0.7564175128936768,6.993487659201492e-06,1.1717517757415772,1.0,1.0,0.7754288911819458,6.4722782553872095e-06,5.524249737032746,20.892267653649196,0.0008,8.613275527954102
11,1.2345279455184937,1.0,1.0,0.7564175724983215,6.944981123524485e-06,1.167058539390564,1.0,1.0,0.7754288911819458,6.4618545184202955e-06,,,0.0008,1.323822259902954
12,1.2285110187530517,1.0,1.0,0.7564175724983215,6.947079782548826e-06,1.1677882051467896,1.0,1.0,0.7754288911819458,6.467200528277317e-06,,,0.0008,1.2152595520019531
13,1.2198080205917359,1.0,1.0,0.7564175128936768,6.919376119185472e-06,1.1671024799346923,1.0,1.0,0.7754288911819458,6.4837126774364155e-06,,,0.0008,1.1392896175384521
14,1.2166210675239564,1.0,1.0,0.7564175724983215,6.912153367011342e-06,1.1629376268386842,1.0,1.0,0.7754288911819458,6.455222937802318e-06,,,0.0008,1.1538844108581543
15,1.2079899168014527,1.0,1.0,0.7564175128936768,6.8966196522524115e-06,1.163234190940857,1.0,1.0,0.7754288911819458,6.464682846853975e-06,5.639913798709234,20.77660359197271,0.0008,8.71659255027771
16,1.2029536056518555,1.0,1.0,0.7564175724983215,6.881657100166194e-06,1.1671073818206787,1.0,1.0,0.7754288911819458,6.470590124081355e-06,,,0.0008,1.3761584758758545
17,1.1976872301101684,1.0,1.0,0.7564175724983215,6.876855877635535e-06,1.1641661405563355,1.0,1.0,0.7754288911819458,6.474651199823711e-06,,,0.0008,1.2114531993865967
18,1.1942212104797363,1.0,1.0,0.7564175724983215,6.87229294271674e-06,1.1656884622573853,1.0,1.0,0.7754288911819458,6.485114518000046e-06,,,0.0008,1.198148488998413
19,1.1837920093536376,1.0,1.0,0.7564175724983215,6.840109108452452e-06,1.1689718627929688,1.0,1.0,0.7754288911819458,6.485756966867484e-06,,,0.0008,1.270871639251709
20,1.1808883714675904,1.0,1.0,0.7564175724983215,6.837029559392249e-06,1.1693771028518676,1.0,1.0,0.7754288911819458,6.480894171545515e-06,5.743839566760936,20.672677823921003,0.0008,8.67827844619751
21,1.177435646057129,1.0,1.0,0.7564175128936768,6.821821443736553e-06,1.168414134979248,1.0,1.0,0.7754288911819458,6.489401166618336e-06,,,0.0008,1.4204018115997314
22,1.1704213762283324,1.0,1.0,0.7564175724983215,6.807903446315322e-06,1.1722182655334472,1.0,1.0,0.7754288911819458,6.483630349976011e-06,,,0.0008,1.217801570892334
23,1.1663392686843872,1.0,1.0,0.7564175724983215,6.8179228946974035e-06,1.1741675710678101,1.0,1.0,0.7754288911819458,6.523809061036445e-06,,,0.0008,1.267179012298584
24,1.1603084325790405,1.0,1.0,0.7564175128936768,6.7912878876086324e-06,1.1810487699508667,1.0,1.0,0.7754288911819458,6.5168518631253395e-06,,,0.0008,1.1997253894805908
25,1.154790620803833,1.0,1.0,0.7564175128936768,6.79241520629148e-06,1.1688855409622192,1.0,1.0,0.7754288911819458,6.481514155893819e-06,5.739175490530699,20.67734190015124,0.0008,8.595336437225342
26,1.143575255870819,1.0,1.0,0.7564175128936768,6.762170869478723e-06,1.1813806915283203,1.0,1.0,0.7754288911819458,6.522270632558503e-06,,,0.0008,1.4007844924926758
27,1.143009660243988,1.0,1.0,0.7564175128936768,6.760561973351287e-06,1.1745903730392455,1.0,1.0,0.7754288911819458,6.495145953522297e-06,,,0.0004,1.186011552810669
28,1.1328980445861816,1.0,1.0,0.7564175128936768,6.7443570515024476e-06,1.1794413614273072,1.0,1.0,0.7754288911819458,6.506956397061003e-06,,,0.0004,1.177795648574829
29,1.126665551662445,1.0,1.0,0.7564175724983215,6.730243057972984e-06,1.17849636554718,1.0,1.0,0.7754288911819458,6.503074382635532e-06,,,0.0004,1.1498773097991943
30,1.1232802891731262,1.0,1.0,0.7564175128936768,6.698875495203538e-06,1.1776093435287476,1.0,1.0,0.7754288911819458,6.500323524960549e-06,5.950781716286713,20.46573567439523,0.0004,8.712154388427734
